"motion" "time" "V1" "V2" "RT" "Correct" "Onset" "Offset" "UK1" "UK2" "UK3" "run" "day" "direction" "response" "RToffset"
0.081 1.25 180 180 1.5971 1 261.95 263.24 263.6 1.2825 0.35998 2 "002.txt" "right" "right" 0.3146
0.523 0.453 180 180 0.7987 1 271.92 272.4 272.76 0.4828 0.36044 2 "002.txt" "right" "right" 0.3159
0.216 0.964 180 180 1.2985 1 278.6 279.58 279.94 0.98257 0.36116 2 "002.txt" "right" "right" 0.31593
0.033 0.805 180 0 1.181 0 283.6 284.43 284.8 0.83253 0.36849 2 "002.txt" "right" "left" 0.34847
0.039 0.293 0 0 0.665 1 288.36 288.68 289.05 0.31629 0.36792 2 "002.txt" "left" "left" 0.34871
0.157 0.854 180 180 1.188 1 304.01 304.89 305.25 0.88264 0.3617 2 "002.txt" "right" "right" 0.30536
0.681 2.24 0 0 2.5994 1 308.81 311.07 311.43 2.2656 0.36196 2 "002.txt" "left" "left" 0.3338
0.033 0.271 180 180 0.69299 NA 318.67 318.97 319.33 0.29959 0.36019 2 "002.txt" "right" "right" 0.3934
1 0.271 0 0 0.62961 1 329.03 329.33 329.7 0.29962 0.36605 2 "002.txt" "left" "left" 0.32999
0.039 0.22 180 180 0.59651 1 340.45 340.7 341.06 0.24943 0.36625 2 "002.txt" "right" "right" 0.34708
0.143 2.02 180 180 2.3979 1 345.73 347.78 348.15 2.049 0.36806 2 "002.txt" "right" "right" 0.3489
0.131 0.453 180 180 0.77674 1 351.58 352.06 352.42 0.48277 0.36488 2 "002.txt" "right" "right" 0.29397
0.081 0.759 0 0 1.1404 1 357.81 358.59 358.96 0.78273 0.36736 2 "002.txt" "left" "left" 0.35767
0.192 3.3 180 180 3.6454 1 366.17 369.5 369.86 3.3318 0.35956 2 "002.txt" "right" "right" 0.3136
0.088 1.56 180 180 1.9239 1 375 376.58 376.95 1.5824 0.36147 2 "002.txt" "right" "right" 0.3415
0.285 0.293 180 180 0.61079 1 381.05 381.37 381.73 0.31617 0.36542 2 "002.txt" "right" "right" 0.29462
0 2.52 180 0 2.8875 0 385.42 387.96 388.33 2.5488 0.3669 2 "002.txt" "right" "left" 0.3387
0.523 1.02 180 180 1.3198 1 394.43 395.48 395.85 1.0493 0.36687 2 "002.txt" "right" "right" 0.2705
0.387 0.293 180 180 0.61431 1 399.28 399.59 399.95 0.31611 0.35981 2 "002.txt" "right" "right" 0.2982
0.068 2.24 0 0 2.5348 1 10.468 12.677 13.043 2.2091 0.36553 3 "003.txt" "left" "left" 0.3257
0.285 0.964 180 180 1.2384 1 18.242 19.224 19.585 0.98253 0.36047 3 "003.txt" "right" "right" 0.25587
0.045 0.854 180 0 1.1712 0 24.673 25.555 25.922 0.88259 0.36709 3 "003.txt" "right" "left" 0.28861
0.111 1.09 0 0 1.3964 1 33.087 34.203 34.564 1.116 0.36114 3 "003.txt" "left" "left" 0.2804
0.523 2.93 180 180 3.2277 1 39.401 42.35 42.709 2.9486 0.35877 3 "003.txt" "right" "right" 0.2791
0.143 0.315 0 0 0.68832 1 48.732 49.064 49.44 0.33279 0.37548 3 "003.txt" "left" "left" 0.35553
0.075 0.71 0 0 1.0373 1 64.127 64.859 65.226 0.73268 0.36641 3 "003.txt" "left" "left" 0.30462
0.033 0.906 180 0 1.2382 0 68.809 69.741 70.102 0.93241 0.36113 3 "003.txt" "right" "left" 0.30579
0.331 1.17 0 0 1.5126 1 73.74 74.94 75.298 1.1992 0.35844 3 "003.txt" "left" "left" 0.3134
0.075 0.423 0 0 0.7615 1 82.787 83.237 83.599 0.44935 0.36199 3 "003.txt" "left" "left" 0.31215
0.121 2.93 0 0 3.3113 1 89.519 92.467 92.841 2.9486 0.37378 3 "003.txt" "left" "left" 0.3627
0.173 0.516 0 0 0.87136 1 96.75 97.316 97.676 0.56613 0.36011 3 "003.txt" "left" "left" 0.30523
0.019 1.56 0 0 1.969 NA 110.46 112.04 112.41 1.5824 0.36233 3 "003.txt" "left" "left" 0.3866
0.603 0.71 180 180 1.0388 1 122.99 123.72 124.08 0.73273 0.36023 3 "003.txt" "right" "right" 0.30607
0.081 1.02 0 0 1.3785 1 129.19 130.24 130.61 1.049 0.36649 3 "003.txt" "left" "left" 0.3295
0.045 0.395 0 0 0.77861 1 139.37 139.8 140.17 0.43277 0.36547 3 "003.txt" "left" "left" 0.34584
0.918 1.17 180 NA NA NA 144.45 145.65 146.01 1.1992 0.35869 3 "003.txt" "right" NA NA
0.216 1.56 180 180 1.9029 1 149.43 151.02 151.38 1.5822 0.36581 3 "003.txt" "right" "right" 0.3207
0.331 0.423 0 0 0.74837 1 160.91 161.36 161.72 0.44939 0.36281 3 "003.txt" "left" "left" 0.29898
0.247 1.44 0 0 1.7878 1 165.16 166.63 166.99 1.4657 0.35886 3 "003.txt" "left" "left" 0.3221
0.45 1.44 180 180 1.8156 1 174.11 175.57 175.94 1.4657 0.36999 3 "003.txt" "right" "right" 0.3499
0.216 0.805 0 0 1.1058 1 180.07 180.89 181.25 0.81589 0.36085 3 "003.txt" "left" "left" 0.28991
0.157 0.588 180 180 0.91236 1 186.69 187.3 187.67 0.61613 0.36665 3 "003.txt" "right" "right" 0.29623
0.157 1.17 0 0 1.5198 1 191.24 192.44 192.79 1.1992 0.35906 3 "003.txt" "left" "left" 0.3206
0.121 1.17 0 0 1.2753 1 196.23 197.43 197.8 1.1991 0.36217 3 "003.txt" "left" "left" 0.0762
0.523 1.56 180 180 1.8966 1 201.37 202.95 203.31 1.5824 0.3618 3 "003.txt" "right" "right" 0.3142
0.76 1.69 180 180 2.0599 1 211.51 213.23 213.59 1.7158 0.36268 3 "003.txt" "right" "right" 0.3441
0.045 1.17 0 0 1.5137 1 217.06 218.26 218.62 1.1993 0.3598 3 "003.txt" "left" "left" 0.3144
0.111 0.293 180 180 0.66486 1 223.96 224.28 224.65 0.31614 0.37017 3 "003.txt" "right" "right" 0.34872
0.837 0.484 180 180 0.82233 1 229.39 229.91 230.27 0.51615 0.35992 3 "003.txt" "right" "right" 0.30618
0.192 1.17 180 180 1.5083 1 236.34 237.54 237.9 1.199 0.36328 3 "003.txt" "right" "right" 0.3093
0.285 0.551 180 180 0.87869 1 244.42 245 245.36 0.5827 0.36024 3 "003.txt" "right" "right" 0.29599
0.039 2.24 0 0 2.6113 1 251.43 253.7 254.07 2.2655 0.36745 3 "003.txt" "left" "left" 0.3458
0.039 0.516 180 180 0.89728 1 258.86 259.4 259.77 0.53278 0.37335 3 "003.txt" "right" "right" 0.3645
0.026 1.56 180 180 1.9481 NA 263.43 265.01 265.37 1.5824 0.35962 3 "003.txt" "right" "right" 0.3657
0.131 1.44 0 0 1.7271 1 268.84 270.31 270.67 1.4657 0.35936 3 "003.txt" "left" "left" 0.2614
0.45 2.93 0 0 3.2389 1 276.46 279.41 279.77 2.9488 0.36122 3 "003.txt" "left" "left" 0.2901
